fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2021-12-31,USD,-1058133000,11106000,None,71246000,211839000,3257000,421220000,2888000,175091000,-2579761000,-420693000,7136428000,14048000,20716000,20716000,None,None,None,None,None,2002437000,None,160689000,None,5657602000,None,-2600000000,annual
2020-12-31,USD,-570196000,51000,None,-3158000,-17785000,10217000,459582000,-148000,359000,-4305920,-459582000,1290545000,None,0,0,None,None,None,None,None,None,None,3285000,None,-4305920,None,-719380000,annual
2022-09-30,USD,-569466000,-975000,None,106658000,334470000,1217000,290064000,1119000,302202000,-530101000,-1374898000,17643000,6912000,None,None,None,None,None,None,0,0,None,1889000,None,-1926721000,None,-530101000,quarterly
2022-06-30,USD,-513628000,11970000,None,124209000,314522000,1133000,309818000,673000,300830000,-220425000,-1729041000,4092000,4282000,None,None,None,None,None,None,0,0,None,16617000,None,-2238577000,None,-220425000,quarterly
2022-03-31,USD,-494649000,312000,None,128968000,341018000,2351000,185082000,-2281000,303022000,-81286000,-185082000,-187301000,-12949000,None,None,None,None,None,None,0,0,None,9114000,None,-867032000,None,-81286000,quarterly
2021-12-31,USD,-312732000,5938000,None,54193000,130402000,-23364000,121907000,2887000,114979000,-1045680000,-121399000,1899585000,-11068000,None,None,None,None,None,None,0,0,None,-18611000,None,1465454000,None,-1065919000,quarterly
2021-09-30,USD,-291597000,4970000,None,17730582,81699442,25421000,92780000,-219000,32931000,-524403000,-92780000,4624738000,16913000,None,None,None,None,None,None,0,0,None,173300000,None,-336203000,None,-524403000,quarterly
2021-06-30,USD,-235078000,141000,None,-674128,-170328,637000,111754000,-158000,21914000,-2962,-111735000,101007000,None,None,None,None,None,None,None,0,0,None,950000,None,587376294,None,-261726000,quarterly
2021-03-31,USD,-218726000,57000,None,-3454,-92114,300000,94779000,378000,5267000,-871798158,-94779000,511098000,None,None,None,None,None,None,None,0,1500000,None,4316000,None,-1524742,None,-747952000,quarterly
2020-12-31,USD,-1075530,30000,None,1495040,-153848,4770000,103722000,-311000,-1504000,-63311261,450000,0,None,None,None,None,None,None,None,0,0,None,0,None,-625530,None,51782811,quarterly
2020-09-30,USD,-1391728,None,None,32333,None,2100000,104770000,None,-160000,-155614,-104770000,2075438015,None,None,None,None,None,None,None,0,250000,None,2076446400,None,-155614,None,-161237000,quarterly
2020-06-30,USD,0,None,None,1000,None,1790000,148985000,None,-1589000,-1000,-148985000,172100,None,None,None,None,None,None,None,25000,300000,None,25000,None,172100,None,-1000,quarterly
