Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap(Billions),PE Ratio (TTM)
TSLA,"Tesla, Inc.",177.9,17.63,11.0,304879000.0,134213000.0,561.764,49.55
LCID,"Lucid Group, Inc.",12.87,3.87,43.0,208145000.0,27877000.0,23.53,11.59
INTC,Intel Corporation,28.16,-1.93,-6.41,148548000.0,36522000.0,116.216,8.72
AMZN,"Amazon.com, Inc.",102.24,3.02,3.04,87776000.0,83032000.0,1042.9999999999998,91.29
RIVN,"Rivian Automotive, Inc.",19.83,1.52,8.3,73483000.0,19005000.0,17.518,
AAPL,Apple Inc.,145.93,1.97,1.37,70556000.0,79021000.0,2311.0,23.88
NIO,NIO Inc.,12.71,0.54,4.44,68858000.0,55429000.0,21.39,
F,Ford Motor Company,13.27,0.35,2.71,61213000.0,51679000.0,53.352,5.92
AMD,"Advanced Micro Devices, Inc.",75.4,0.24,0.32,58119000.0,63465000.0,121.572,46.26
SNAP,Snap Inc.,10.91,0.72,7.07,52110000.0,29281000.0,17.599,
NVDA,NVIDIA Corporation,203.65,5.63,2.84,53436000.0,46596000.0,507.496,54.61
CCL,Carnival Corporation & plc,11.02,0.39,3.67,48384000.0,48881000.0,14.327,
SOFI,"SoFi Technologies, Inc.",5.94,0.23,4.03,48504000.0,43506000.0,4.75,
BBD,Banco Bradesco S.A.,2.69,-0.11,-3.93,37982000.0,44643000.0,28.671,5.85
PLTR,Palantir Technologies Inc.,7.55,0.31,4.28,37181000.0,32851000.0,15.705,
T,AT&T Inc.,19.95,-0.05,-0.25,36181000.0,39025000.0,142.204,8.24
RIG,Transocean Ltd.,6.63,-0.03,-0.45,34073000.0,22838000.0,4.786,
GOOGL,Alphabet Inc.,99.37,1.85,1.9,33880000.0,32217000.0,1265.0,19.79
META,"Meta Platforms, Inc.",151.74,4.44,3.01,35159000.0,38219000.0,397.893,14.08
AMC,"AMC Entertainment Holdings, Inc.",5.51,0.23,4.36,32159000.0,29256000.0,2.828,
GOOG,Alphabet Inc.,100.71,1.55,1.56,29020000.0,26371000.0,1261.0,20.02
LU,Lufax Holding Ltd,3.24,0.08,2.53,28798000.0,19507000.0,7.406,4.15
APE,"AMC Entertainment Holdings, Inc.",1.92,0.13,7.26,22143000.0,28522000.0,5.092,
FSR,Fisker Inc.,7.84,1.02,14.96,28091000.0,5042000.0,2.445,
XPEV,XPeng Inc.,10.69,0.45,4.39,27432000.0,32695000.0,9.16,
VALE,Vale S.A.,18.66,-0.64,-3.32,26392000.0,29980000.0,86.644,4.71
AAL,American Airlines Group Inc.,16.43,-0.18,-1.08,26257000.0,28058000.0,10.678,
BAC,Bank of America Corporation,35.45,0.11,0.31,29751000.0,38982000.0,283.486,11.11
FTCH,Farfetch Limited,7.11,0.83,13.22,25776000.0,16940000.0,2.711,
NU,Nu Holdings Ltd.,4.37,0.14,3.31,23551000.0,28023000.0,20.476,
GRAB,Grab Holdings Limited,3.71,0.08,2.2,26018000.0,16825000.0,14.288,
PLUG,Plug Power Inc.,15.86,0.49,3.19,25437000.0,17068000.0,9.245,
SHOP,Shopify Inc.,50.08,1.75,3.62,24357000.0,22100000.0,63.706,385.23
COIN,"Coinbase Global, Inc.",61.37,8.35,15.75,24431000.0,16088999.999999998,16.073,6.28
AFRM,"Affirm Holdings, Inc.",16.24,1.88,13.09,24318000.0,16498999.999999998,4.712,
PFE,Pfizer Inc.,43.79,-0.46,-1.04,23200000.0,21623000.0,245.807,8.39
PBR,Petróleo Brasileiro S.A. - Petrobras,11.29,-0.37,-3.17,23371000.0,34460000.0,73.635,2.16
ITUB,Itaú Unibanco Holding S.A.,4.85,-0.14,-2.81,23095000.0,40752000.0,46.973,8.36
GM,General Motors Company,37.95,1.47,4.03,21774000.0,13141000.0,53.916,6.45
MSFT,Microsoft Corporation,248.16,0.16,0.06,26457000.0,30369000.0,1847.0,27.57
CMCSA,Comcast Corporation,39.6,-0.81,-2.0,20777000.0,23519000.0,171.207,33.56
DNA,"Ginkgo Bioworks Holdings, Inc.",1.94,0.19,10.86,20469000.0,23060000.0,3.984,
CS,Credit Suisse Group AG,3.56,-0.01,-0.28,19802000.0,20067000.0,14.103,
SCHW,The Charles Schwab Corporation,74.69,-3.36,-4.3,19735000.0,7415000.0,139.427,21.34
GOLD,Barrick Gold Corporation,19.67,-0.02,-0.1,19490000.0,20246000.0,34.671,18.38
CSX,CSX Corporation,30.08,-0.07,-0.23,19433000.0,13574000.0,63.24,15.43
NOK,Nokia Oyj,4.73,-0.08,-1.66,18557000.0,19836000.0,26.464,14.33
WBD,"Warner Bros. Discovery, Inc.",14.91,-0.09,-0.6,21002000.0,29852000.0,36.207,8.24
UBER,"Uber Technologies, Inc.",30.36,0.34,1.13,17721000.0,21945000.0,60.55,
CVX,Chevron Corporation,179.45,-8.34,-4.44,19485000.0,7846000.0,346.992,10.21
