Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap(Billions),PE Ratio (TTM)
CTLT,"Catalent, Inc.",67.0,10.95,19.54,11929000.0,2970000.0,12.058,27.8
NCMGF,Newcrest Mining Limited,17.09,2.04,13.55,86328.0,35493.0,15.273,16.59
NCMGY,Newcrest Mining Limited,16.95,1.82,12.03,810123.0,109803.0,15.148,16.46
AMC,"AMC Entertainment Holdings, Inc.",6.8,0.72,11.84,60422000.0,30660000.0,3.491,
LSI,"Life Storage, Inc.",123.05,12.47,11.28,4276000.0,641818.0,10.587,30.46
SNAP,Snap Inc.,12.07,1.07,9.73,61512000.0,31765000.0,19.087,
CELH,"Celsius Holdings, Inc.",99.45,7.32,7.95,2051000.0000000002,1010999.9999999999,7.581,397.8
GME,GameStop Corp.,23.86,1.61,7.24,8506000.0,4950000.0,7.267,
AI,"C3.ai, Inc.",27.55,1.67,6.45,103400000.0,5621000.0,3.037,
TGTX,"TG Therapeutics, Inc.",18.48,1.12,6.45,4006000.0,5602000.0,2.686,
ALBKY,Alpha Services and Holdings S.A.,0.3176,0.0176,5.88,38656.0,25557.0,3.402,31.76
PROK,ProKidney Corp.,11.0,0.61,5.87,117778.0,109909.0,2.56,
LKNCY,Luckin Coffee Inc.,29.41,1.53,5.49,2217000.0,1838000.0,7.796,35.43
YACAF,Yancoal Australia Ltd,4.24,0.21,5.21,47194.0,39231.0,5.808,2.99
ARRY,"Array Technologies, Inc.",20.8,1.02,5.16,6568000.0,4341000.0,3.13,
APE,"AMC Entertainment Holdings, Inc.",3.16,0.15,4.98,75607000.0,31358000.0,5.729,
FRO,Frontline plc,15.28,0.7,4.8,4061000.0,5030000.0,3.402,12.73
MOG-A,Moog Inc.,97.9,4.45,4.76,184888.0,111250.0,3.287,20.27
EURN,Euronav NV,16.8,0.76,4.74,2184000.0,2605000.0,3.451,16.8
GIKLY,"Grifols, S.A.",7.34,0.29,4.12,19400.0,13449.0,9.966,122.33
ALVO,Alvotech,12.78,0.5,4.07,47043.0,105319.0,3.178,53.25
FNMAT,Federal National Mortgage Association,2.06,0.08,4.04,40405.0,97271.0,2.726,294.29
KSRYY,KOSÉ Corporation,22.85,0.88,4.01,31944.0,6708.0,6.518,58.59
INSW,"International Seaways, Inc.",41.8,1.6,3.98,1032999.9999999999,587400.0,2.051,14.82
UGP,Ultrapar Participações S.A.,2.49,0.09,3.75,1293000.0,1431000.0,2.712,13.83
IMVT,"Immunovant, Inc.",18.41,0.66,3.72,1158000.0,1174000.0,2.378,
CPA,"Copa Holdings, S.A.",92.16,3.28,3.69,452793.0,376552.0,3.633,10.02
CUBE,CubeSmart,48.2,1.68,3.61,3578000.0,2497000.0,10.895,42.28
SAGE,"Sage Therapeutics, Inc.",45.72,1.56,3.53,854835.0,512419.0,2.72,
CIBEY,Commercial International Bank (Egypt) S.A.E,1.65,0.055,3.45,508565.0,186591.0,5.098,10.31
WHITF,Whitehaven Coal Limited,5.84,0.19,3.36,36137.0,49040.0,5.193,4.2
RNR,RenaissanceRe Holdings Ltd.,212.99,6.88,3.34,378733.0,339322.0,9.311,
TFPM,Triple Flag Precious Metals Corp.,13.91,0.44,3.27,406733.0,104637.0,2.793,40.91
STNG,Scorpio Tankers Inc.,51.78,1.63,3.25,1217000.0,1409000.0,3.093,9.86
SNGNF,Singapore Telecommunications Limited,1.91,0.06,3.24,75149.0,28790.0,33.044,19.1
PBR,Petróleo Brasileiro S.A. - Petrobras,11.19,0.35,3.23,25926000.0,31084000.0,72.982,2.18
GGAL,Grupo Financiero Galicia S.A.,12.72,0.39,3.16,695909.0,708260.0,4.643,12.0
LAZR,"Luminar Technologies, Inc.",7.9,0.24,3.13,7754000.0,7654000.0,2.866,
PBR-A,Petróleo Brasileiro S.A. - Petrobras,10.01,0.3,3.09,8103000.0,13079000.0,70.114,1.92
AZPN,"Aspen Technology, Inc.",206.86,6.13,3.05,201987.0,250278.0,13.399,63.07
