Period End Date,Period Length,Total Revenue,Cost of Revenue,Gross Profit,"Selling, General and Administrative",Research and Development,Unusual Expense/Income,Total Operating Expense,Operating Income,Interest Income Net,Other Income Net,Net Income Before Taxes,Provision for Income Taxes,Net Income,Income Avail. to Common Excl. Extraord.,Income Avail. to Common Incl. Extraord.,Diluted Average Shares,Diluted EPS Excl. Extraord.,Diluted EPS Incl. Extraord.
9/30/2022,3 Months,"207,176.00","131,210.00","75,966.00","32,950.00","15,150.00",,"182,039.00","25,137.00","-1,388.00","-39,508.00","-15,759.00","2,572.00","-20,561.00","-20,561.00","-20,561.00","21,164.00",-0.97151,-0.97151
6/30/2022,3 Months,"205,555.00","129,657.00","75,898.00","34,011.00","14,193.00",,"180,612.00","24,943.00","4,125.00",109.00,"29,177.00","5,399.00","22,739.00","22,739.00","22,739.00","21,384.00",1.06337,1.06337
3/31/2022,3 Months,"204,052.00","138,945.00","65,107.00","34,615.00","10,944.00",0.00,"187,335.00","16,717.00","-1,189.00","-35,088.00","-19,560.00","2,079.00","-8,978.00","-8,978.00","-8,978.00","21,402.00",-0.41949,-0.41949
12/31/2021,3 Months,"242,580.00","146,658.00","95,922.00","45,171.00","15,705.00","25,141.00","235,512.00","7,068.00","17,175.00","5,083.00","29,326.00","9,553.00","20,429.00","20,429.00","20,429.00","21,716.00",0.94073,0.94073
9/30/2021,3 Months,"200,690.00","129,750.00","70,940.00","37,731.00","15,297.00",,"185,684.00","15,006.00","-1,267.00","-9,793.00","3,946.00","6,087.00","5,367.00","5,367.00","5,367.00","21,794.00",0.24626,0.24626
6/30/2021,3 Months,"205,740.00","124,097.00","81,643.00","34,204.00","13,519.00",,"174,893.00","30,847.00","12,834.00","2,157.00","45,838.00","9,096.00","45,141.00","45,141.00","45,141.00","22,038.00",2.04833,2.04833
3/31/2021,3 Months,"187,395.00","125,454.00","61,941.00","52,887.00","13,302.00",0.00,"195,058.00","-7,663.00","-1,049.00","2,115.00","-6,597.00","7,049.00","-5,479.00","-5,479.00","-5,479.00","21,652.00",-0.25305,-0.25305
12/31/2020,3 Months,"221,084.00","121,268.00","99,816.00","34,035.00","13,607.00","-6,400.00","165,682.00","55,402.00","32,544.00","2,826.00","90,772.00","9,194.00","79,427.00","79,427.00","79,427.00","22,021.00",3.60688,3.60688
