Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,SEC Form 4 Link,Insider_id
Herrington Douglas J,CEO Worldwide Amazon Stores,Feb 06,Sale,102.9,4000.0,411600.0,529435.0,Feb 08 04:37 PM,http://www.sec.gov/Archives/edgar/data/1018724/000110465923014571/xslF345X03/tm235796-1_4seq1.xml,1936006
Selipsky Adam,CEO Amazon Web Services,Feb 03,Sale,106.09,500.0,53045.0,123680.0,Feb 06 04:44 PM,http://www.sec.gov/Archives/edgar/data/1018724/000112760223003574/xslF345X03/form4.xml,1684974
Selipsky Adam,CEO Amazon Web Services,Feb 02,Sale,111.43,5100.0,568280.0,124180.0,Feb 06 04:44 PM,http://www.sec.gov/Archives/edgar/data/1018724/000112760223003574/xslF345X03/form4.xml,1684974
AMAZON COM INC,10% Owner,Dec 16,Sale,26.99,260000.0,7017400.0,13918445.0,Dec 20 04:36 PM,http://www.sec.gov/Archives/edgar/data/894081/000089924322039118/xslF345X03/doc4.xml,1018724
Reynolds Shelley,Vice President,Nov 21,Option Exercise,0.0,3500.0,0.0,123280.0,Nov 23 04:22 PM,http://www.sec.gov/Archives/edgar/data/1018724/000112760222026343/xslF345X03/form4.xml,1397333
Zapolsky David,Senior Vice President,Nov 21,Option Exercise,0.0,16740.0,0.0,85360.0,Nov 23 04:28 PM,http://www.sec.gov/Archives/edgar/data/1018724/000112760222026345/xslF345X03/form4.xml,1557979
Olsavsky Brian T,Senior Vice President and CFO,Nov 21,Option Exercise,0.0,16740.0,0.0,64240.0,Nov 23 04:35 PM,http://www.sec.gov/Archives/edgar/data/1018724/000112760222026347/xslF345X03/form4.xml,1639902
Zapolsky David,Senior Vice President,Nov 21,Sale,94.0,8380.0,787720.0,76980.0,Nov 23 04:28 PM,http://www.sec.gov/Archives/edgar/data/1018724/000112760222026345/xslF345X03/form4.xml,1557979
Herrington Douglas J,CEO Worldwide Amazon Stores,Nov 21,Sale,94.0,7456.0,700864.0,533435.0,Nov 23 04:49 PM,http://www.sec.gov/Archives/edgar/data/1018724/000089924322036943/xslF345X03/doc4.xml,1936006
Olsavsky Brian T,Senior Vice President and CFO,Nov 21,Sale,94.0,15240.0,1432560.0,49000.0,Nov 23 04:35 PM,http://www.sec.gov/Archives/edgar/data/1018724/000112760222026347/xslF345X03/form4.xml,1639902
Reynolds Shelley,Vice President,Nov 21,Sale,94.0,3500.0,329000.0,119780.0,Nov 23 04:22 PM,http://www.sec.gov/Archives/edgar/data/1018724/000112760222026343/xslF345X03/form4.xml,1397333
Huttenlocher Daniel P,Director,Nov 17,Sale,95.7,1720.0,164599.0,22440.0,Nov 17 04:41 PM,http://www.sec.gov/Archives/edgar/data/1018724/000112760222025958/xslF345X03/form4.xml,1630567
Jassy Andrew R,President and CEO,Nov 15,Option Exercise,0.0,60000.0,0.0,1952000.0,Nov 17 05:08 PM,http://www.sec.gov/Archives/edgar/data/1018724/000112760222025972/xslF345X03/form4.xml,1374545
