Date,Status,Outer,Current_rating,Previous_rating,Previous_price,Current_price
2023-01-30,Reiterated,Credit Suisse,Outperform,Outperform,142,171
2023-01-30,Reiterated,Barclays,Overweight,Overweight,140,130
2023-01-25,Reiterated,UBS,Buy,Buy,121,118
2023-01-24,Reiterated,Telsey Advisory Group,Outperform,Outperform,140,125
2023-01-18,Reiterated,MKM Partners,Buy,Buy,145,125
2023-01-04,Initiated,New Street,Buy,Buy,130,130
2022-11-15,Initiated,MoffettNathanson,Outperform,Outperform,118,118
2022-10-28,Reiterated,Wolfe Research,Outperform,Outperform,150,130
2022-10-28,Reiterated,Wells Fargo,Overweight,Overweight,200,155
2022-10-28,Reiterated,Wedbush,Outperform,Outperform,175,140
2022-10-28,Reiterated,Truist,Buy,Buy,170,160
2022-10-28,Reiterated,The Benchmark Company,Buy,Buy,160,125
2022-10-28,Reiterated,Telsey Advisory Group,Outperform,Outperform,150,140
2022-10-28,Reiterated,Robert W. Baird,Outperform,Outperform,150,130
2022-10-28,Reiterated,RBC Capital Mkts,Outperform,Outperform,175,135
2022-10-28,Reiterated,Raymond James,Outperform,Outperform,164,130
2022-10-28,Reiterated,Oppenheimer,Outperform,Outperform,165,130
2022-10-28,Reiterated,Needham,Buy,Buy,175,120
2022-10-28,Reiterated,Morgan Stanley,Overweight,Overweight,175,140
2022-10-28,Reiterated,Monness Crespi & Hardt,Buy,Buy,172,136
