Period End Date,Period Length,Total Revenue,Cost of Revenue,Gross Profit,"Selling, General and Administrative",Research and Development,Unusual Expense/Income,Total Operating Expense,Operating Income,Interest Income Net,Other Income Net,Net Income Before Taxes,Provision for Income Taxes,Net Income,Income Avail. to Common Excl. Extraord.,Income Avail. to Common Incl. Extraord.,Diluted Average Shares,Diluted EPS Excl. Extraord.,Diluted EPS Incl. Extraord.
12/31/2022,3 Months,"149,204.00","85,640.00","63,564.00","39,254.00","20,814.00",,"146,467.00","2,737.00","-2,725.00",-974.00,-962.00,"-1,227.00",278.00,278.00,278.00,"10,222.00",0.02720,0.02720
9/30/2022,3 Months,"127,101.00","70,268.00","56,833.00","34,658.00","19,485.00",,"124,576.00","2,525.00",596.00,-177.00,"2,944.00",69.00,"2,872.00","2,872.00","2,872.00","10,331.00",0.27800,0.27800
6/30/2022,3 Months,"121,234.00","66,424.00","54,810.00","33,331.00","18,072.00",,"117,917.00","3,317.00","-4,864.00","-1,106.00","-2,653.00",-637.00,"-2,028.00","-2,028.00","-2,028.00","10,175.00",-0.19931,-0.19931
3/31/2022,3 Months,"116,444.00","66,499.00","49,945.00","31,185.00","14,842.00",,"112,775.00","3,669.00","-8,595.00",-339.00,"-5,265.00","-1,422.00","-3,844.00","-3,844.00","-3,844.00","10,180.00",-0.37760,-0.37760
12/31/2021,3 Months,"137,412.00","82,835.00","54,577.00","35,780.00","15,313.00",,"133,952.00","3,460.00","11,183.00",291.00,"14,934.00",612.00,"14,323.00","14,323.00","14,323.00","10,360.00",1.38253,1.38253
9/30/2021,3 Months,"110,812.00","62,930.00","47,882.00","28,661.00","14,380.00",,"105,960.00","4,852.00",-610.00,73.00,"4,315.00","1,155.00","3,156.00","3,156.00","3,156.00","10,300.00",0.30641,0.30641
6/30/2021,3 Months,"113,080.00","64,176.00","48,904.00","27,320.00","13,871.00",,"105,378.00","7,702.00",-62.00,994.00,"8,634.00",868.00,"7,778.00","7,778.00","7,778.00","10,280.00",0.75661,0.75661
3/31/2021,3 Months,"108,518.00","62,403.00","46,115.00","24,724.00","12,488.00",,"99,653.00","8,865.00",-401.00,"1,804.00","10,268.00","2,156.00","8,107.00","8,107.00","8,107.00","10,260.00",0.79016,0.79016
