Period End Date,Period Length,Net Income,Depreciation/Depletion,Amortization,Deferred Taxes,Non-Cash Items,Changes in Working Capital,Cash from Operating Activities,Capital Expenditures,Other Investing Cash Flow Items,Cash from Investing Activities,Financing Cash Flow Items,Total Cash Dividends Paid,Issuance (Retirement) of Stock,Issuance (Retirement) of Debt,Cash from Financing Activities,Foreign Exchange Effects,Net Cash - Beginning Balance,Net Cash - Ending Balance,Net Change in Cash,Cash Interest Paid,Cash Taxes Paid
TTM,12 Months,"-2,722.00","41,921.00",,"-8,148.00","36,587.00","-20,886.00","46,752.00","-63,645.00","26,044.00","-37,601.00",,,"-6,000.00","15,718.00","9,718.00","-1,093.00",,,"17,776.00","1,561.00","6,035.00"
12/31/2022,12 Months,"-2,722.00","41,921.00",,"-8,148.00","36,587.00","-20,886.00","46,752.00","-63,645.00","26,044.00","-37,601.00",,,"-6,000.00","15,718.00","9,718.00","-1,093.00","36,477.00","54,253.00","17,776.00","1,561.00","6,035.00"
12/31/2021,12 Months,"33,364.00","34,296.00",,-310.00,"-1,412.00","-19,611.00","46,327.00","-61,053.00","2,899.00","-58,154.00",,,,"6,291.00","6,291.00",-364.00,"42,377.00","36,477.00","-5,900.00","1,098.00","3,688.00"
12/31/2020,12 Months,"21,331.00","25,251.00",,-554.00,"6,555.00","13,481.00","66,064.00","-40,140.00","-19,471.00","-59,611.00",,,,"-1,104.00","-1,104.00",618.00,"36,410.00","42,377.00","5,967.00",916.00,"1,713.00"
12/31/2019,12 Months,"11,588.00","21,789.00",,796.00,"6,779.00","-2,438.00","38,514.00","-16,861.00","-7,420.00","-24,281.00",,,,"-10,066.00","-10,066.00",70.00,"32,173.00","36,410.00","4,237.00",875.00,-881.00
12/31/2018,12 Months,"10,073.00","15,341.00",,441.00,"5,911.00","-1,043.00","30,723.00","-13,427.00","1,058.00","-12,369.00",,,,"-7,686.00","-7,686.00",-351.00,"21,856.00","32,173.00","10,317.00",854.00,"1,184.00"
12/31/2017,12 Months,"3,033.00","11,478.00",,-29.00,"4,125.00",-242.00,"18,365.00","-11,955.00","-15,129.00","-27,084.00",,,,"9,928.00","9,928.00",713.00,"19,934.00","21,856.00","1,922.00",328.00,957.00
12/31/2016,12 Months,"2,371.00","8,116.00",,-246.00,"3,115.00","3,847.00","17,203.00","-7,804.00","-1,712.00","-9,516.00",,,,"-3,716.00","-3,716.00",-212.00,"16,175.00","19,934.00","3,759.00",290.00,412.00
