Period End Date,Period Length,Total Revenue,Cost of Revenue,Gross Profit,"Selling, General and Administrative",Research and Development,Unusual Expense/Income,Total Operating Expense,Operating Income,Interest Income Net,Other Income Net,Net Income Before Taxes,Provision for Income Taxes,Net Income,Income Avail. to Common Excl. Extraord.,Income Avail. to Common Incl. Extraord.,Diluted Average Shares,Diluted EPS Excl. Extraord.,Diluted EPS Incl. Extraord.
TTM,12 Months,"513,983.00","288,831.00","225,152.00","138,428.00","73,213.00",,"501,735.00","12,248.00","-15,588.00","-2,596.00","-5,936.00","-3,217.00","-2,722.00","-2,722.00","-2,722.00","10,227.00",-0.27171,-0.27171
12/31/2022,12 Months,"513,983.00","288,831.00","225,152.00","138,428.00","73,213.00",,"501,735.00","12,248.00","-15,588.00","-2,596.00","-5,936.00","-3,217.00","-2,722.00","-2,722.00","-2,722.00","10,189.00",-0.26715,-0.26715
12/31/2021,12 Months,"469,822.00","272,344.00","197,478.00","116,485.00","56,052.00",,"444,943.00","24,879.00","10,110.00","3,162.00","38,151.00","4,791.00","33,364.00","33,364.00","33,364.00","10,300.00",3.23922,3.23922
12/31/2020,12 Months,"386,064.00","233,307.00","152,757.00","87,193.00","42,740.00",,"363,165.00","22,899.00",-224.00,"1,503.00","24,178.00","2,863.00","21,331.00","21,331.00","21,331.00","10,200.00",2.09127,2.09127
12/31/2019,12 Months,"280,522.00","165,536.00","114,986.00","64,313.00","35,931.00",,"265,981.00","14,541.00",-557.00,-8.00,"13,976.00","2,374.00","11,588.00","11,588.00","11,588.00","10,080.00",1.14960,1.14960
12/31/2018,12 Months,"232,887.00","139,156.00","93,731.00","52,177.00","28,837.00",,"220,466.00","12,421.00",-977.00,-183.00,"11,261.00","1,354.00","10,073.00","9,916.00","10,073.00","10,000.00",0.99160,1.00730
12/31/2017,12 Months,"177,866.00","111,934.00","65,932.00","38,992.00","22,620.00",,"173,760.00","4,106.00",-406.00,106.00,"3,806.00","1,558.00","3,033.00","2,244.00","3,033.00","9,860.00",0.22759,0.30761
12/31/2016,12 Months,"135,987.00","88,265.00","47,722.00","27,284.00","16,085.00",,"131,801.00","4,186.00",-371.00,77.00,"3,892.00","1,425.00","2,371.00","2,371.00","2,371.00","9,680.00",0.24494,0.24494
