fiscalDateEnding,reportedEPS
2022-12-31,14.73
2021-12-31,16.93
2020-12-31,9.81
2019-12-31,6.9
2018-12-31,7.23
2017-12-31,5.58
2016-12-31,3.84
2015-12-31,3.69
2014-12-31,3.6
2013-12-31,3.01
2012-12-31,3.91
2011-12-31,6.21
2010-12-31,4.01
2009-12-31,-0.56
2008-12-31,1.54
2007-12-31,2.8
2006-12-31,2.2
2005-12-31,1.17
2004-12-31,0.83
2003-12-31,-0.47
2002-12-31,-0.67
1999-12-31,0.28
1998-12-31,0.24
1997-12-31,0.57
1996-12-31,0.46
