fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2021-12-31,USD,8756000000,74000000,None,13000000,146000000,1039000000,2462000000,287000000,-45000000,7769000000,-4095000000,-3137000000,None,527000000,527000000,None,3886000000,3886000000,None,None,1495000000,None,-150000000,None,1524000000,None,7769000000,annual
2020-12-31,USD,6139000000,218000000,None,-118000000,329000000,931000000,649000000,340000000,-46000000,5595000000,-922000000,-4547000000,None,2553000000,2553000000,None,3426000000,3426000000,None,None,1498000000,None,-2083000000,None,670000000,None,5595000000,annual
2019-12-31,USD,6649000000,248000000,None,-286000000,-663000000,996000000,847000000,-133000000,-216000000,5017000000,-1920000000,-4730000000,None,2960000000,2960000000,None,3008000000,3008000000,None,None,1491000000,None,-2421000000,None,-1000000,None,5017000000,annual
2018-12-31,USD,7189000000,140000000,None,151000000,-501000000,908000000,1131000000,-71000000,282000000,5580000000,-78000000,-6329000000,None,5100000000,5100000000,None,2555000000,2555000000,None,None,1500000000,None,-4727000000,None,782000000,None,5580000000,annual
2017-12-31,USD,5363000000,346000000,None,519000000,7000000,857000000,695000000,7000000,167000000,3682000000,-1127000000,-3734000000,None,2556000000,2556000000,None,2104000000,None,None,None,1099000000,None,-2073000000,None,502000000,None,3682000000,annual
2022-09-30,USD,2766000000,None,None,63000000,30000000,249000000,790000000,-150000000,205000000,2295000000,-2113000000,-1286000000,0,996000000,996000000,None,1051000000,1051000000,None,None,0,None,-918000000,None,-633000000,None,2295000000,quarterly
2022-06-30,USD,1768000000,None,None,-260000000,535000000,227000000,597000000,395000000,139000000,2291000000,1225000000,-2696000000,0,1182000000,1182000000,None,1060000000,1060000000,None,None,0,None,-1126000000,None,6491000000,None,2291000000,quarterly
2022-03-31,USD,2144000000,None,None,295000000,223000000,200000000,443000000,94000000,150000000,2201000000,-1668000000,-1602000000,0,589000000,589000000,None,1063000000,1063000000,None,None,0,None,-532000000,None,-1126000000,None,2201000000,quarterly
2021-12-31,USD,2357000000,None,None,-20000000,98000000,200000000,1282000000,48000000,47000000,2138000000,-2229000000,-1160000000,0,142000000,142000000,None,1062000000,1062000000,None,None,0,None,-90000000,None,-1032000000,None,2138000000,quarterly
2021-09-30,USD,2428000000,None,None,25000000,-1000000,47000000,486000000,62000000,13000000,1947000000,-884000000,470000000,0,139000000,139000000,None,942000000,942000000,None,None,1495000000,None,-64000000,None,3267000000,None,1947000000,quarterly
