fiscalDateEnding,reportedEPS
2022-12-31,4.07
2021-12-31,2.26
2020-12-31,1.19
2019-12-31,-0.02
2018-12-31,-5.44
2017-12-31,-8.62
2016-12-31,-3.04
2015-12-31,-2.29
2014-12-31,0.12
2013-12-31,0.77
2012-12-31,-3.22
2011-12-31,-2.21
2010-12-31,-0.8671
