fiscalDateEnding,reportedEPS
2022-12-31,-0.3
2021-12-31,3.25
2020-12-31,6.86
2019-12-31,23.01
2018-12-31,20.13
2017-12-31,4.56
2016-12-31,4.91
2015-12-31,1.24
2014-12-31,-0.54
2013-12-31,0.58
2012-12-31,0.42
2011-12-31,1.37
2010-12-31,2.53
2009-12-31,2.03
2008-12-31,1.5
2007-12-31,1.12
2006-12-31,0.45
2005-12-31,0.84
2004-12-31,0.93
2003-12-31,0.6
2002-12-31,0.0776
2001-12-31,-0.44
2000-12-31,-1.18
1999-12-31,-1.17
1998-12-31,-0.25
1997-12-31,-0.08
