Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap(Billions),PE Ratio (TTM)
MLYBY,Malayan Banking Berhad,3.91,-0.63,-13.88,33402.0,6495.0,24.182,12.22
DROOF,Deliveroo plc,1.1,-0.1525,-12.18,450951.0,64465.0,2.081,
VERX,"Vertex, Inc.",14.51,-1.54,-9.6,167058.0,175155.0,2.177,
TAL,TAL Education Group,6.17,-0.61,-9.0,15584000.0,9997000.0,4.003,
ARWR,"Arrowhead Pharmaceuticals, Inc.",33.51,-3.23,-8.79,1648000.0,1016000.0,3.576,
JWN,"Nordstrom, Inc.",24.18,-2.2,-8.34,16559000.000000002,6213000.0,3.871,11.8
LESL,"Leslie's, Inc.",13.75,-1.23,-8.21,3900000.0,3211000.0,2.524,15.11
FQVLF,First Quantum Minerals Ltd.,19.15,-1.69,-8.09,31631.0,52347.0,13.263,11.47
TRUP,"Trupanion, Inc.",59.88,-5.19,-7.98,514313.0,511149.0,2.448,
LU,Lufax Holding Ltd,2.75,-0.23,-7.72,26085000.0,20154000.0,6.286,3.57
CSTM,Constellium SE,14.62,-1.22,-7.7,1565000.0,925095.0,2.11,6.62
KUASF,Kuaishou Technology,8.42,-0.69,-7.57,268643.0,14562.0,35.311,
ATAT,Atour Lifestyle Holdings Limited,23.14,-1.89,-7.55,324481.0,558470.0,3.018,144.62
GH,"Guardant Health, Inc.",29.56,-2.38,-7.45,1668000.0,1643000.0,3.028,
RKLB,"Rocket Lab USA, Inc.",4.92,-0.39,-7.34,4630000.0,3697000.0,2.328,30.75
RH,RH,318.43,-25.19,-7.33,1740000.0,783572.0,7.344,11.27
CJRCF,China Resources Cement Holdings Limited,0.514,-0.0405,-7.3,22001.0,85.0,3.68,4.67
SAUHF,Straumann Holding AG,136.25,-10.7,-7.28,36752.0,1209.0,21.649,40.67
HBI,Hanesbrands Inc.,6.08,-0.47,-7.18,24920000.0,11136000.0,2.122,6.02
CVNA,Carvana Co.,13.43,-1.02,-7.06,31961000.0,30490000.0,2.385,
CRCT,"Cricut, Inc.",9.65,-0.73,-7.03,81412.0,141257.0,2.131,34.46
SAPMY,Saipem SpA,0.3,-0.0219,-6.82,34974.0,30239.0,2.993,
FTCH,Farfetch Limited,6.52,-0.46,-6.59,12423000.0,17786000.0,2.486,
ATRC,"AtriCure, Inc.",44.09,-3.11,-6.59,293329.0,249034.0,2.051,37.68
GDS,GDS Holdings Limited,22.46,-1.57,-6.53,1079000.0,1804000.0,4.399,
CIG-C,Companhia Energética de Minas Gerais,3.19,-0.22,-6.45,73655.0,51471.0,7.02,9.67
VFC,V.F. Corporation,28.66,-1.96,-6.4,8346000.0,6181000.0,11.136,26.54
IQ,"iQIYI, Inc.",6.94,-0.47,-6.34,16562999.999999998,20634000.0,6.567,
AFRM,"Affirm Holdings, Inc.",17.01,-1.14,-6.28,18060000.0,17701000.0,4.935,
CABJF,Carlsberg A/S,137.8,-9.2,-6.26,51005.0,2527.0,19.822,17.94
GDRX,"GoodRx Holdings, Inc.",5.41,-0.36,-6.24,1526000.0,1910000.0,2.143,
AMRC,"Ameresco, Inc.",56.43,-3.73,-6.2,486703.0,242191.0,2.93,28.5
