Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap(Billions),PE Ratio (TTM)
MASI,Masimo Corporation,167.58,-5.18,-3.0,511310.0,560981.0,8.809,53.88
AHCO,AdaptHealth Corp.,20.76,-0.64,-2.99,315667.0,783763.0,2.797,32.95
RRC,Range Resources Corporation,26.08,-0.8,-2.98,3613000.0,3841000.0,6.302,5.1
ARGX,argenx SE,382.52,-11.72,-2.97,157359.0,251296.0,21.19,
DLTR,"Dollar Tree, Inc.",146.52,-4.47,-2.96,3941000.0,2221000.0,32.408,19.99
IIPR,"Innovative Industrial Properties, Inc.",85.78,-2.6,-2.94,680795.0,359595.0,2.4,16.5
EQT,EQT Corporation,34.21,-1.03,-2.92,5957000.0,6576000.0,12.557,5.47
ACIW,"ACI Worldwide, Inc.",27.96,-0.84,-2.92,523019.0,1127000.0,3.142,19.83
ALLY,Ally Financial Inc.,31.36,-0.94,-2.91,6774000.0,5723000.0,9.387,6.22
KSS,Kohl's Corporation,31.72,-0.95,-2.91,2635000.0,4019000.0,3.505,7.64
HBI,Hanesbrands Inc.,8.02,-0.24,-2.91,6999000.0,10054000.0,2.799,7.94
SYNH,"Syneos Health, Inc.",34.82,-1.03,-2.87,919304.0,1760000.0,3.583,12.35
APA,APA Corporation,44.06,-1.3,-2.87,5032000.0,6275000.0,14.166,4.17
TSCDY,Tesco PLC,9.03,-0.27,-2.86,604835.0,371088.0,22.121,19.63
AMC,"AMC Entertainment Holdings, Inc.",5.5,-0.16,-2.83,24172000.0,28929000.0,2.823,
GLCNF,Glencore plc,6.96,-0.2,-2.83,70467.0,38977.0,88.806,5.85
SMG,The Scotts Miracle-Gro Company,62.34,-1.81,-2.82,764364.0,899739.0,3.458,8.89
PRVA,"Privia Health Group, Inc.",24.82,-0.72,-2.82,591379.0,877688.0,2.837,
PI,"Impinj, Inc.",128.61,-3.73,-2.82,345675.0,494762.0,3.333,
WAT,Waters Corporation,334.03,-9.67,-2.81,228616.0,346796.0,19.844,28.75
PEN,"Penumbra, Inc.",243.6,-7.03,-2.8,207871.0,378754.0,9.252,
SHC,Sotera Health Company,16.82,-0.48,-2.77,1290000.0,3032000.0,4.745,38.23
CRS,Carpenter Technology Corporation,42.91,-1.22,-2.76,558154.0,276418.0,2.079,
RUN,Sunrun Inc.,26.09,-0.74,-2.76,3591000.0,7072000.0,5.56,76.74
ADRNY,Koninklijke Ahold Delhaize N.V.,29.45,-0.83,-2.74,266119.0,92240.0,28.749,11.59
DT,"Dynatrace, Inc.",36.98,-1.04,-2.74,1430000.0,2004000.0,10.645,410.89
JKS,"JinkoSolar Holding Co., Ltd.",58.23,-1.63,-2.72,824222.0,1055000.0,2.919,116.46
DEN,Denbury Inc.,87.54,-2.45,-2.72,291835.0,582518.0,4.36,8.78
DVN,Devon Energy Corporation,63.97,-1.79,-2.72,6960000.0,9449000.0,41.817,6.72
MMYT,MakeMyTrip Limited,29.74,-0.83,-2.72,567209.0,287775.0,3.131,
YETI,"YETI Holdings, Inc.",42.82,-1.19,-2.7,763763.0,1282000.0,3.693,19.2
PRFT,"Perficient, Inc.",75.94,-2.11,-2.7,176135.0,202573.0,2.63,31.77
CHRD,Chord Energy Corporation,142.72,-3.96,-2.7,227273.0,371506.0,5.938,3.09
FSLR,"First Solar, Inc.",171.49,-4.73,-2.68,1678000.0,3006000.0,18.281,182.43
LSPD,Lightspeed Commerce Inc.,17.1,-0.47,-2.68,1019000.0,1203000.0,2.573,
MEDP,"Medpace Holdings, Inc.",233.14,-6.38,-2.66,317859.0,371404.0,7.251,34.29
MTD,Mettler-Toledo International Inc.,1534.75,-41.93,-2.66,87704.0,101072.0,34.216,41.65
LEA,Lear Corporation,134.94,-3.67,-2.65,525514.0,480540.0,7.976,34.96
WSM,"Williams-Sonoma, Inc.",120.49,-3.26,-2.63,846193.0,1148000.0,8.021,7.33
TAC,TransAlta Corporation,9.28,-0.25,-2.62,230907.0,350168.0,2.501,37.12
CRI,"Carter's, Inc.",81.34,-2.18,-2.61,692806.0,660967.0,3.104,12.4
BIDU,"Baidu, Inc.",132.79,-3.55,-2.6,2096000.0,3462000.0,45.886,
