Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap(Billions),PE Ratio (TTM)
CHGG,"Chegg, Inc.",17.43,-3.6,-17.12,20391000.0,1799000.0,2.187,11.94
GME,GameStop Corp.,21.22,-2.64,-11.06,9051000.0,5111000.0,6.463,
AI,"C3.ai, Inc.",24.53,-3.02,-10.96,58892000.0,7411000.0,2.704,
LAZR,"Luminar Technologies, Inc.",7.04,-0.86,-10.89,10640000.0,7762000.0,2.554,
AMC,"AMC Entertainment Holdings, Inc.",6.18,-0.62,-9.12,46545000.0,31426000.0,3.172,
IWGFF,IWG plc,2.195,-0.215,-8.92,62312.0,2181.0,2.21,
LINRF,Liontown Resources Limited,1.06,-0.094,-8.15,36922.0,6207.0,2.328,53.0
TKC,Turkcell Iletisim Hizmetleri A.S.,4.53,-0.38,-7.74,363997.0,576668.0,3.956,11.62
FN,Fabrinet,121.92,-10.14,-7.68,696082.0,189140.0,4.461,20.77
ACT,"Enact Holdings, Inc.",23.02,-1.79,-7.21,392234.0,147430.0,3.749,5.3
ARMK,Aramark,40.89,-2.97,-6.77,10404000.0,2537000.0,10.626,54.52
GETY,"Getty Images Holdings, Inc.",6.47,-0.46,-6.64,2032000.0,318655.0,2.097,58.82
X,United States Steel Corporation,28.1,-1.98,-6.58,13863000.0,7104000.0,6.583,2.32
PJT,PJT Partners Inc.,74.01,-5.21,-6.58,520506.0,132758.0,2.93,60.66
GPK,Graphic Packaging Holding Company,22.14,-1.52,-6.42,10112000.0,3183000.0,6.8,17.03
SUPN,"Supernus Pharmaceuticals, Inc.",38.14,-2.61,-6.4,935074.0,391098.0,2.062,56.93
LESL,"Leslie's, Inc.",12.87,-0.88,-6.4,5856000.0,3214000.0,2.364,18.39
SSL,Sasol Limited,16.32,-1.03,-5.94,469797.0,216395.0,10.456,4.62
HAE,Haemonetics Corporation,82.57,-5.19,-5.91,1018999.9999999999,451559.0,4.179,49.15
SQSP,"Squarespace, Inc.",22.9,-1.4,-5.76,1145000.0,559465.0,3.133,134.71
EBR-B,Centrais Elétricas Brasileiras S.A. - Eletrobrás,7.42,-0.44,-5.6,21654.0,23773.0,17.042,23.94
HELE,Helen of Troy Limited,112.35,-6.56,-5.52,868231.0,440650.0,2.696,18.54
KKOYY,Kesko Oyj,10.54,-0.58,-5.22,35828.0,15580.0,8.378,12.26
PINS,"Pinterest, Inc.",26.45,-1.44,-5.16,40105000.0,11474000.0,17.939,293.89
ESRCF,ESR Group Limited,1.99,-0.095,-4.56,49734.0,669.0,8.818,18.09
SAM,"The Boston Beer Company, Inc.",377.12,-17.95,-4.54,199791.0,118914.0,4.637,167.61
CRRFY,Carrefour SA,3.63,-0.17,-4.47,229747.0,231963.0,13.287,12.96
SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,9.91,-0.44,-4.25,2099000.0,2731000.0,6.774,11.26
COIN,"Coinbase Global, Inc.",71.42,-3.17,-4.25,19820000.0,16610000.0,18.705,7.3
PGNY,"Progyny, Inc.",32.01,-1.42,-4.25,2564000.0,845200.0,2.973,72.75
GNW,"Genworth Financial, Inc.",5.45,-0.24,-4.22,4139999.9999999995,2904000.0,2.705,4.74
ITUB,Itaú Unibanco Holding S.A.,4.67,-0.2,-4.11,29248000.0,38187000.0,45.77,8.19
INCY,Incyte Corporation,80.96,-3.4,-4.03,4167000.0,1513000.0,18.012,20.34
DUOL,"Duolingo, Inc.",95.12,-3.98,-4.02,898360.0,385771.0,3.821,
CXMSF,"CEMEX, S.A.B. de C.V.",0.48,-0.02,-4.0,2894000.0,420172.0,7.455,1.17
SHCAY,Sharp Corporation,1.92,-0.08,-4.0,21688.0,29037.0,5.296,16.0
LKNCY,Luckin Coffee Inc.,28.25,-1.16,-3.94,3149000.0,1813000.0,7.489,35.31
EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,7.12,-0.29,-3.91,2879000.0,1768000.0,16.704,22.97
GEBHY,Genting Berhad,5.77,-0.23,-3.83,103127.0,18536.0,4.444,
CARR,Carrier Global Corporation,44.39,-1.76,-3.81,7961000.0,3579000.0,37.122,10.7
NTDOY,"Nintendo Co., Ltd.",10.18,-0.4,-3.78,2819000.0,1050000.0,47.686,11.7
MCW,"Mister Car Wash, Inc.",9.7,-0.38,-3.77,1567000.0,1240000.0,2.958,24.25
AXON,"Axon Enterprise, Inc.",188.58,-7.37,-3.76,2400000.0,626975.0,13.42,130.06
ELP,Companhia Paranaense de Energia - COPEL,6.85,-0.26,-3.66,580464.0,615091.0,18.745,62.27
INSM,Insmed Incorporated,20.9,-0.78,-3.6,934799.0,1321000.0,2.831,
YETI,"YETI Holdings, Inc.",44.63,-1.62,-3.5,2385000.0,1269000.0,3.849,21.15
VVV,Valvoline Inc.,34.99,-1.25,-3.45,3417000.0,1466000.0,6.103,57.36
CERE,"Cerevel Therapeutics Holdings, Inc.",33.23,-1.18,-3.43,551148.0,524395.0,5.195,
EURN,Euronav NV,16.23,-0.57,-3.39,4637000.0,2661000.0,3.275,16.23
VTYX,"Ventyx Biosciences, Inc.",42.46,-1.49,-3.39,733717.0,684076.0,2.405,
GH,"Guardant Health, Inc.",28.56,-1.0,-3.38,2085999.9999999998,1656000.0,2.926,
AMN,"AMN Healthcare Services, Inc.",97.89,-3.39,-3.35,1162000.0,708437.0,4.242,9.01
BACHF,Bank of China Limited,0.3716,-0.0126,-3.28,220720.0,57413.0,126.445,3.38
LCID,"Lucid Group, Inc.",11.57,-0.39,-3.26,29247000.0,34861000.0,21.154,11.02
CIG,Companhia Energética de Minas Gerais,2.08,-0.07,-3.26,6348000.0,6083000.0,5.432,6.5
ASAI,Sendas Distribuidora S.A.,17.99,-0.6,-3.23,283427.0,360351.0,4.941,15.92
LEG,"Leggett & Platt, Incorporated",34.81,-1.16,-3.22,1761000.0,850627.0,4.615,13.14
SFTBY,SoftBank Group Corp.,23.0,-0.76,-3.22,96603.0,230560.0,67.266,5.39
CLF,Cleveland-Cliffs Inc.,20.17,-0.67,-3.21,11248000.0,11698000.0,10.394,4.53
AKBTY,Akbank T.A.S.,1.51,-0.05,-3.21,41302.0,27065.0,4.087,1.72
MAC,The Macerich Company,13.31,-0.44,-3.2,1746000.0,1766000.0,2.991,55.46
PARAA,Paramount Global,26.52,-0.87,-3.18,41068.0,91020.0,15.254,6.04
GOL,Gol Linhas Aéreas Inteligentes S.A.,2.87,-0.09,-3.04,3940000.0,1486000.0,4.777,
PCCYF,PetroChina Company Limited,0.5031,-0.0157,-3.03,133407.0,228050.0,129.797,4.57
AKRO,"Akero Therapeutics, Inc.",45.39,-1.41,-3.01,516903.0,775950.0,2.123,
TIMB,TIM S.A.,10.5,-0.32,-2.96,662625.0,545036.0,5.18,12.21
PARA,Paramount Global,23.35,-0.71,-2.95,9283000.0,12330000.0,15.29,5.32
GPI,"Group 1 Automotive, Inc.",224.01,-6.76,-2.93,226196.0,199108.0,3.181,4.73
CHWY,"Chewy, Inc.",46.77,-1.4,-2.91,5026000.0,3799000.0,19.8,
ZIM,ZIM Integrated Shipping Services Ltd.,21.61,-0.64,-2.88,4410000.0,4335000.0,2.594,0.44
XP,XP Inc.,16.55,-0.49,-2.88,4398000.0,4526000.0,9.273,12.54
FOLD,"Amicus Therapeutics, Inc.",12.68,-0.37,-2.84,3012000.0,2081000.0,3.562,
CIG-C,Companhia Energética de Minas Gerais,3.1,-0.09,-2.82,55573.0,52264.0,6.822,9.69
VODPF,Vodafone Group Public Limited Company,1.07,-0.03,-2.73,20592.0,10031.0,29.432,13.38
NTCO,Natura &Co Holding S.A.,5.35,-0.15,-2.73,848531.0,724608.0,3.77,29.72
MC,Moelis & Company,47.68,-1.33,-2.71,684036.0,525840.0,3.28,8.36
WSO,"Watsco, Inc.",296.87,-8.25,-2.7,684664.0,269142.0,11.559,21.37
NXST,"Nexstar Media Group, Inc.",202.01,-5.6,-2.7,512126.0,498493.0,7.617,8.1
VIPS,Vipshop Holdings Limited,14.6,-0.4,-2.67,8096000.0,5757000.0,8.909,16.78
ARLP,"Alliance Resource Partners, L.P.",21.04,-0.57,-2.64,552244.0,514222.0,2.676,4.79
FROG,JFrog Ltd.,24.56,-0.65,-2.58,2504000.0,598903.0,2.463,
EADSY,Airbus SE,30.27,-0.8,-2.57,177381.0,278509.0,97.988,21.32
AAON,"AAON, Inc.",77.54,-2.02,-2.54,158108.0,189570.0,4.125,62.03
