fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2021-12-31,USD,12796000000,2655000000,None,85000000,-1510000000,6417000000,2062000000,-1372000000,-138000000,5743000000,-5975000000,-13354000000,-40000000,None,None,None,5869000000,5869000000,None,None,522000000,None,-319000000,None,-6533000000,None,5743000000,Anual
2020-12-31,USD,18197000000,3406000000,None,138000000,-5088000000,6695000000,2618000000,-5297000000,209000000,5590000000,-3028000000,-9721000000,-853000000,None,None,None,5797000000,5797000000,None,None,10504000000,None,-302000000,None,5448000000,None,5590000000,Anual
2019-12-31,USD,14770000000,3234000000,None,-503000000,-569000000,6059000000,2286000000,-502000000,-67000000,9431000000,-26936000000,9042000000,-2597000000,1361000000,1361000000,None,5707000000,5707000000,None,None,31825000000,None,-1361000000,None,-3124000000,None,9431000000,Anual
2018-12-31,USD,15247000000,1423000000,None,126000000,-879000000,4480000000,3395000000,-1006000000,127000000,8728000000,-4913000000,-10469000000,1341000000,4443000000,4443000000,None,5666000000,5666000000,None,None,6891000000,None,-4443000000,None,-135000000,None,8728000000,Anual
2017-12-31,USD,16724000000,1208000000,None,47000000,-1315000000,4541000000,3229000000,-1297000000,-18000000,5753000000,-7081000000,-6418000000,620000000,4340000000,4340000000,None,5506000000,5506000000,None,None,9643000000,None,-4165000000,None,4146000000,937000000,5753000000,Anual
2022-09-30,USD,1901000000,None,None,None,None,1163000000,317000000,None,None,-3196000000,-1697000000,713000000,230000000,0,0,None,1491000000,1491000000,None,None,3395000000,None,0,None,917000000,None,-3196000000,Quaterly
2022-06-30,USD,1321000000,None,None,None,None,1246000000,339000000,None,None,1392000000,172000000,-4196000000,-1000000,0,0,None,1488000000,1488000000,None,None,318000000,None,0,None,-2703000000,None,1392000000,Quaterly
2022-03-31,USD,3248000000,None,None,None,None,1256000000,281000000,None,None,733000000,-1358000000,1377000000,-8000000,0,0,None,1475000000,1475000000,None,None,4084000000,None,0,None,3267000000,None,733000000,Quaterly
2021-12-31,USD,2544000000,None,None,None,None,1381000000,450000000,1372000000,138000000,2333000000,-675000000,-2692000000,-880000000,0,0,None,1474000000,1474000000,None,None,128000000,None,0,None,-823000000,None,2333000000,Quaterly
2021-09-30,USD,2713000000,None,None,None,None,1684000000,558000000,None,138000000,1130000000,-629000000,-1748000000,908000000,0,0,None,1471000000,1471000000,None,None,151000000,None,0,None,1130000000,None,1130000000,Quaterly
2021-06-30,USD,2625000000,None,None,None,None,1680000000,560000000,None,138000000,1325000000,-2671000000,-3131000000,21000000,0,0,None,1467000000,1467000000,None,None,192000000,None,0,None,1325000000,None,1325000000,Quaterly
2021-03-31,USD,4914000000,None,None,None,None,1672000000,494000000,None,138000000,955000000,-2000000000,-5783000000,-89000000,0,0,None,1457000000,1457000000,None,None,51000000,None,0,None,-2869000000,None,955000000,Quaterly
2020-12-31,USD,5860000000,None,None,None,None,1699000000,678000000,5297000000,-209000000,1356000000,-558000000,-6293000000,-386000000,0,0,None,1454000000,1454000000,None,None,167000000,None,0,None,-4000000000,None,1356000000,Quaterly
2020-09-30,USD,4285000000,None,None,None,None,1683000000,725000000,None,-209000000,1698000000,-332000000,-1689000000,-18000000,0,0,None,1453000000,1453000000,None,None,147000000,None,0,None,1698000000,None,1698000000,Quaterly
2020-06-30,USD,3576000000,None,None,None,None,1679000000,585000000,None,-209000000,1361000000,-1236000000,-1624000000,-1035000000,0,0,None,1450000000,1450000000,None,None,4135000000,None,0,None,1361000000,None,1361000000,Quaterly
2020-03-31,USD,4476000000,None,None,None,None,1634000000,630000000,None,-209000000,1175000000,-902000000,-115000000,586000000,0,0,None,1440000000,1440000000,None,None,6055000000,None,0,None,3459000000,None,1175000000,Quaterly
2019-12-31,USD,3451000000,2073000000,None,None,None,1650000000,576000000,None,67000000,3670000000,128000000,-5675000000,-457000000,0,0,None,1438000000,1438000000,None,None,329000000,None,0,None,-2096000000,None,3670000000,Quaterly
2019-09-30,USD,3619000000,395000000,None,None,None,1669000000,588000000,None,67000000,1672000000,-30373000000,-8177000000,-6733000000,125000000,125000000,None,1436000000,1436000000,None,None,247000000,None,-125000000,None,1672000000,None,1672000000,Quaterly
2019-06-30,USD,2941000000,None,None,None,None,307000000,583000000,None,67000000,2498000000,4162000000,21031000000,4572000000,316000000,316000000,None,1436000000,1436000000,None,None,25270000000,None,-316000000,None,2498000000,None,2498000000,Quaterly
2019-03-31,USD,4759000000,None,None,None,None,1446000000,539000000,None,67000000,1591000000,-853000000,1863000000,21000000,920000000,920000000,None,1397000000,1397000000,None,None,5979000000,None,-920000000,None,5769000000,None,1591000000,Quaterly
2018-12-31,USD,4119000000,None,None,None,None,1112000000,782000000,1006000000,-127000000,1951000000,455000000,-4605000000,965000000,2050000000,2050000000,None,1416000000,1416000000,None,None,2177000000,None,-2050000000,None,-31000000,None,1951000000,Quaterly
2018-09-30,USD,4232000000,None,None,None,None,348000000,812000000,None,-127000000,2694000000,-2969000000,-436000000,-21000000,626000000,626000000,None,1431000000,1431000000,None,None,2208000000,None,-626000000,None,2692000000,None,2694000000,Quaterly
2018-06-30,USD,2294000000,None,None,None,None,342000000,931000000,None,-127000000,2404000000,-635000000,-2519000000,-15000000,990000000,990000000,None,1437000000,1437000000,None,None,336000000,None,-990000000,None,2403000000,None,2404000000,Quaterly
2018-03-31,USD,4602000000,None,None,None,None,1114000000,870000000,None,-127000000,1679000000,-1764000000,-2909000000,412000000,777000000,777000000,None,1382000000,1382000000,None,None,2170000000,None,-777000000,None,-71000000,None,1679000000,Quaterly
