fiscalDateEnding,reportedEPS
2022-12-31,6.82
2021-12-31,13.8
2020-12-31,10.1
2019-12-31,6.44
2018-12-31,7.57
2017-12-31,5.39
2016-12-31,4.24
2015-12-31,2.28
2014-12-31,1.73
2013-12-31,0.87
2012-12-31,0.4745
