fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2021-12-31,USD,57683000000,1421000000,None,5909000000,5209000000,7967000000,18567000000,3110000000,None,39370000000,-7570000000,-50728000000,14000000,44537000000,44537000000,None,None,None,None,None,None,None,-44537000000,None,-615000000,None,39370000000,annual
2020-12-31,USD,38747000000,1222000000,None,-1312000000,1411000000,6862000000,15115000000,1512000000,None,29146000000,-30059000000,-10292000000,24000000,6272000000,6272000000,None,None,None,None,None,None,None,-6272000000,None,-1604000000,None,29146000000,annual
2019-12-31,USD,36314000000,914000000,None,9123000000,1873000000,5741000000,15102000000,1961000000,None,18485000000,-19864000000,-7299000000,-223000000,4202000000,4202000000,None,None,None,None,None,None,None,-4202000000,None,9151000000,None,18485000000,annual
2018-12-31,USD,29274000000,1000000,None,1057000000,2741000000,4315000000,13915000000,1892000000,None,22112000000,-11603000000,-15572000000,500000000,12879000000,12879000000,None,None,None,None,None,None,None,-12879000000,None,2099000000,None,22112000000,annual
2017-12-31,USD,24216000000,0,None,3439000000,1647000000,3025000000,6733000000,1609000000,None,15934000000,-20118000000,-5235000000,0,1976000000,1976000000,None,None,None,None,None,None,None,-1976000000,None,-824000000,233000000,15934000000,annual
2022-09-30,USD,9692000000,421000000,None,1539000000,964000000,2175000000,9375000000,105000000,None,4395000000,-9701000000,2147000000,-191000000,6354000000,6354000000,None,None,None,None,0,None,None,-6354000000,None,2138000000,None,4395000000,quarterly
2022-06-30,USD,12196000000,394000000,None,1400000000,981000000,1979000000,7572000000,522000000,None,6687000000,-6959000000,-6563000000,-79000000,5233000000,5233000000,None,None,None,None,0,None,None,-5233000000,None,-1326000000,None,6687000000,quarterly
2022-03-31,USD,14076000000,393000000,None,-229000000,-3022000000,2156000000,5441000000,-2557000000,None,7465000000,-4779000000,-10660000000,20000000,9506000000,9506000000,None,None,None,None,0,None,None,-9506000000,None,-1363000000,None,7465000000,quarterly
2021-12-31,USD,18104000000,-7549000000,None,4003000000,1387000000,2014000000,5369000000,2038000000,None,10285000000,5829000000,-21742000000,-1000000,20061000000,20061000000,None,None,None,None,0,None,None,-20061000000,None,2191000000,None,10285000000,quarterly
2021-09-30,USD,14090000000,1987000000,None,2180000000,797000000,1995000000,4314000000,555000000,None,9194000000,-330000000,-15252000000,12000000,13458000000,13458000000,None,None,None,None,0,None,None,-13458000000,None,11064000000,None,9194000000,quarterly
2021-06-30,USD,13247000000,6650000000,None,1513000000,3403000000,1986000000,4612000000,1366000000,None,10394000000,-8195000000,-8549000000,53000000,7079000000,7079000000,None,None,None,None,0,None,None,-7079000000,None,12254000000,None,10394000000,quarterly
2021-03-31,USD,12242000000,333000000,None,-1787000000,-378000000,1972000000,4272000000,-849000000,None,9497000000,-4874000000,-5185000000,-50000000,3939000000,3939000000,None,None,None,None,0,None,None,-3939000000,None,2183000000,None,9497000000,quarterly
