fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,report_type
2021-12-31,USD,-127786000,27111000,154897000,48884000,-1530446000,652475000,750185000,1405732000,None,-1374000,None,1374000,-52000,-893000,None,3020000,-2599951000,49000,1374000,-2579761000,-2579761000,-2598577000,-2595557000,-2600000000,annual
2020-12-31,USD,906000,3976000,3070000,3070000,-599227000,89023000,511110000,2152960,None,-64000,None,64000,-139000,-690000,None,10217000,-719568000,-188000,64000,-4305920,-719380000,-719504000,-709287000,-719380000,annual
2022-09-30,USD,-297026000,195457000,492483000,186500000,-687523000,176736000,213761000,391714000,24373000,-7613000,24373000,7613000,None,665000,None,1217000,-529952000,149000,7613000,-530101000,-542676000,-522339000,-521122000,-530101000,quarterly
2022-06-30,USD,-195006000,97336000,292342000,81700000,-559199000,163812000,200381000,365326000,None,-7189000,None,7189000,None,11188000,None,1133000,-220357000,68000,7189000,-220425000,-221116000,-213168000,-212035000,-220425000,quarterly
2022-03-31,USD,-188295000,57675000,245970000,96366000,-597530000,223159000,186076000,410331000,None,-7705000,None,7705000,0,942000,None,1096000,-80963000,323000,7705000,-81286000,-81286000,-73258000,-72162000,-81286000,quarterly
2021-12-31,USD,-125081000,26392000,151473000,151473000,-485684000,196997000,163606000,363675000,None,-1263000,None,1263000,4000,-742000,None,988000,-1065901000,18000,1263000,-1045680000,1121652000,-1064638000,-1063650000,-1065919000,quarterly
2021-09-30,USD,-3088000,232000,3320000,3320000,-497050000,251554000,242408000,493962000,None,-76000,None,76000,None,249000,14900000,800000,-524381000,22000,76000,-524403000,-524403000,-524305000,-523505000,-524403000,quarterly
2021-06-30,USD,155000,174000,19000,19000,-248919000,72272000,176802000,562194,27453,-900000,-870000,30000,None,-390000,None,637000,-261721000,5000,900000,-2962,-261726000,-261691000,-261054000,-261726000,quarterly
2021-03-31,USD,228000,313000,85000,2520000,-298793000,131652000,167369000,3089824,177326,-300000,-295000,5000,-56000,-10000,None,615000,-747948000,4000,300000,-871798158,-747952000,-747943000,-747328000,-747952000,quarterly
2020-12-31,USD,1114000,3634000,2520000,2520000,-2642996,31304000,169521000,2642996,320579,-44000,None,44000,None,-766000,None,4770000,51873263,90452,44000,-63311261,-63311261,51917263,-306404000,51782811,quarterly
2020-09-30,USD,-275000,334000,609000,609000,-162100000,27935000,133890000,161825000,210782,-10000,None,10000,None,785000,2100000,None,-161382000,-145000,10000,-155614,-161237000,-161372000,-161372000,-161237000,quarterly
2020-06-30,USD,None,None,None,None,-1000,None,None,1000,None,None,None,None,None,None,None,None,None,-28000,None,-1000,-1000,-1000,None,-1000,quarterly
